event_id,event_type,city,venue_type,music_genre,target_audience,day_of_week,start_time,ticket_price,capacity,tickets_sold,occupancy_rate,sales_start_days_before,promotion_strategy,main_sales_channel,drinks_included,weather,competing_events,result,business_notes
1,Fiesta reggaeton,Málaga,Terraza,Techno,Erasmus,Viernes,00:00,12,1200,836,0.7,7,Promoción grupos,Fourvenues,2,Calor,0,Buen resultado,Promoción por grupos funcionó muy bien
2,Noche comercial,Málaga,Beach club,Techno,Público general,Domingo,18:00,20,500,285,0.57,21,Campaña Instagram,Web ticketing,0,Calor,1,Resultado medio,Precio demasiado alto para el público objetivo
3,Evento indie,Málaga,Discoteca,Urbano,Universitarios,Sábado,16:00,21,1500,1479,0.99,7,Descuento early bird,Wegow,2,Lluvia,0,Sold out o casi sold out,Instagram generó visibilidad pero pocas ventas directas
4,Afterwork,Granada,Beach club,Latino,Jóvenes 18-25,Viernes,18:00,7,600,335,0.56,21,Promoción grupos,RRPP,0,Nublado,1,Resultado medio,Alta conversión por RRPP
5,Evento indie,Granada,Sala de conciertos,Comercial,Jóvenes 18-25,Jueves,20:00,18,1200,1036,0.86,45,RRPP universitarios,Wegow,1,Nublado,0,Buen resultado,Promoción por grupos funcionó muy bien
6,Tardeo universitario,Sevilla,Discoteca,Latino,Jóvenes 18-25,Domingo,18:00,10,1000,769,0.77,45,Comunidad WhatsApp,RRPP,2,Nublado,2,Buen resultado,WhatsApp fue el canal más efectivo
7,Festival urbano,Sevilla,Sala de conciertos,Comercial,Público general,Sábado,16:00,33,500,197,0.39,21,Sorteo de entradas,Wegow,0,Frío,1,Resultado flojo,Buena respuesta de comunidad universitaria
8,Fiesta techno,Valencia,Sala de conciertos,Latino,Jóvenes 25-35,Jueves,00:00,21,800,552,0.69,7,Sorteo de entradas,Web ticketing,2,Calor,1,Resultado medio,Ventas lentas al inicio y aceleración final
9,Festival urbano,Valencia,Terraza,Reggaeton,Jóvenes 18-25,Domingo,20:00,33,800,619,0.77,10,RRPP universitarios,Web ticketing,2,Soleado,2,Buen resultado,Ventas lentas al inicio y aceleración final
10,Afterwork,Madrid,Sala de conciertos,Techno,Jóvenes 18-25,Viernes,00:00,10,400,235,0.59,14,Preventa por tramos,Wegow,0,Lluvia,1,Resultado medio,Promoción por grupos funcionó muy bien
11,Fiesta reggaeton,Málaga,Recinto exterior,Latino,Universitarios,Viernes,00:00,18,800,689,0.86,30,RRPP universitarios,Fourvenues,0,Frío,2,Buen resultado,Promoción por grupos funcionó muy bien
12,Concierto pop,Valencia,Terraza,Urbano,Jóvenes 18-25,Domingo,18:00,22,1000,726,0.73,30,Colaboración con influencers locales,RRPP,0,Nublado,0,Buen resultado,Evento con alta ocupación y buen margen
13,Tardeo universitario,Málaga,Discoteca,Techno,Universitarios,Jueves,00:00,10,1500,969,0.65,30,Descuento early bird,RRPP,1,Calor,0,Resultado medio,Evento con alta ocupación y buen margen
14,Pool party,Sevilla,Recinto exterior,Latino,Jóvenes 25-35,Viernes,16:00,22,1200,536,0.45,45,Promoción grupos,RRPP,1,Frío,1,Resultado flojo,Ventas lentas al inicio y aceleración final
15,Fiesta Erasmus,Valencia,Terraza,Latino,Universitarios,Viernes,22:00,10,1200,793,0.66,14,Campaña Instagram,Instagram,0,Calor,1,Resultado medio,Ventas lentas al inicio y aceleración final
16,Afterwork,Málaga,Discoteca,Comercial,Público general,Jueves,22:00,8,1500,1381,0.92,21,Promoción grupos,Instagram,1,Nublado,1,Sold out o casi sold out,Precio demasiado alto para el público objetivo
17,Tardeo universitario,Córdoba,Terraza,Latino,Jóvenes 25-35,Sábado,00:00,10,1500,897,0.6,10,Sorteo de entradas,Fourvenues,2,Calor,2,Resultado medio,Buena respuesta de comunidad universitaria
18,Afterwork,Málaga,Terraza,Reggaeton,Universitarios,Domingo,22:00,13,400,363,0.91,7,RRPP universitarios,RRPP,0,Calor,0,Sold out o casi sold out,Promoción por grupos funcionó muy bien
19,Fiesta reggaeton,Madrid,Sala de conciertos,Indie,Público general,Jueves,18:00,15,1000,904,0.9,10,Promoción grupos,Web ticketing,2,Calor,2,Sold out o casi sold out,Alta conversión por RRPP
20,Festival urbano,Córdoba,Sala de conciertos,Comercial,Jóvenes 18-25,Domingo,20:00,27,3000,1856,0.62,7,Descuento early bird,RRPP,2,Soleado,1,Resultado medio,La competencia afectó a las ventas
21,Fiesta techno,Granada,Discoteca,Techno,Jóvenes 18-25,Sábado,20:00,23,3000,1571,0.52,30,RRPP universitarios,Web ticketing,1,Calor,2,Resultado medio,La competencia afectó a las ventas
22,Fiesta reggaeton,Sevilla,Terraza,Reggaeton,Universitarios,Viernes,00:00,13,1000,917,0.92,45,Comunidad WhatsApp,WhatsApp,2,Calor,0,Sold out o casi sold out,Faltó campaña de urgencia en últimos días
23,Pool party,Granada,Discoteca,Reggaeton,Jóvenes 25-35,Sábado,00:00,18,800,592,0.74,45,Preventa por tramos,RRPP,2,Lluvia,0,Buen resultado,Instagram generó visibilidad pero pocas ventas directas
24,Tardeo universitario,Málaga,Discoteca,Comercial,Erasmus,Jueves,20:00,9,500,381,0.76,14,Descuento early bird,Wegow,1,Calor,0,Buen resultado,Buena respuesta de comunidad universitaria
25,Concierto pop,Valencia,Sala de conciertos,Comercial,Universitarios,Sábado,22:00,27,500,269,0.54,7,Sorteo de entradas,Wegow,0,Nublado,0,Resultado medio,Alta conversión por RRPP
26,Concierto pop,Granada,Sala de conciertos,Latino,Universitarios,Domingo,22:00,25,1000,631,0.63,10,Preventa por tramos,Web ticketing,1,Nublado,0,Resultado medio,Promoción por grupos funcionó muy bien
27,Evento indie,Granada,Discoteca,Latino,Jóvenes 18-25,Sábado,16:00,18,400,256,0.64,10,Sorteo de entradas,Fourvenues,0,Calor,1,Resultado medio,Faltó campaña de urgencia en últimos días
28,Fiesta reggaeton,Madrid,Recinto exterior,Pop,Jóvenes 18-25,Domingo,18:00,20,300,171,0.57,21,Promoción grupos,Web ticketing,1,Calor,0,Resultado medio,La competencia afectó a las ventas
29,Evento indie,Córdoba,Discoteca,Comercial,Jóvenes 18-25,Sábado,18:00,18,1200,1042,0.87,21,Promoción grupos,Fourvenues,1,Lluvia,2,Buen resultado,La competencia afectó a las ventas
30,Concierto pop,Córdoba,Recinto exterior,Comercial,Erasmus,Sábado,22:00,27,600,391,0.65,30,Sorteo de entradas,Wegow,1,Soleado,1,Resultado medio,Alta conversión por RRPP
31,Pool party,Córdoba,Sala de conciertos,Indie,Jóvenes 25-35,Viernes,20:00,20,3000,2787,0.93,7,Promoción grupos,WhatsApp,2,Calor,2,Sold out o casi sold out,Promoción por grupos funcionó muy bien
32,Concierto pop,Sevilla,Sala de conciertos,Reggaeton,Universitarios,Viernes,22:00,23,3000,2094,0.7,45,Colaboración con influencers locales,Wegow,1,Soleado,1,Buen resultado,WhatsApp fue el canal más efectivo
33,Concierto pop,Sevilla,Discoteca,Latino,Universitarios,Domingo,00:00,23,2000,1156,0.58,7,Campaña Instagram,Instagram,0,Calor,1,Resultado medio,WhatsApp fue el canal más efectivo
34,Afterwork,Madrid,Terraza,Latino,Jóvenes 25-35,Domingo,22:00,15,600,469,0.78,14,Colaboración con influencers locales,Instagram,1,Frío,1,Buen resultado,La competencia afectó a las ventas
35,Concierto pop,Granada,Recinto exterior,Reggaeton,Jóvenes 18-25,Viernes,18:00,23,500,255,0.51,10,Comunidad WhatsApp,WhatsApp,0,Lluvia,2,Resultado medio,Precio demasiado alto para el público objetivo
36,Fiesta reggaeton,Córdoba,Recinto exterior,Pop,Público general,Domingo,22:00,20,3000,2335,0.78,7,Sorteo de entradas,RRPP,1,Nublado,1,Buen resultado,Evento con alta ocupación y buen margen
